second,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
233,excellent,2.833191975,24.75,9.09,8.08,23.84,12.49,4.08,5.93,1.12,30.73,16.63,66.4,36.6
234,excellent,2.835884495,24.75,9.05,8.08,23.96,12.44,4.1,5.93,1.12,30.41,16.77,66.6,36.6
235,excellent,2.838594808,25.11,9.05,8.08,24.07,12.44,4.08,6,1.16,30.9,16.77,66.7,36.6
236,excellent,2.841322919,24.75,9.05,8.05,23.96,12.39,4.08,6.05,1.17,30.41,16.91,66.7,36.7
237,excellent,2.844068832,24.75,9.12,8.08,24.18,12.39,4.1,6.02,1.17,30.41,16.91,66.8,36.7
238,excellent,2.84683255,24.75,9.05,8.08,23.96,12.34,4.15,6.07,1.18,31.74,16.98,66.8,36.7
239,excellent,2.849614075,24.87,9.05,8.05,24.07,12.29,4.1,6.07,1.2,30.25,16.98,66.8,36.8
240,excellent,2.852413406,24.87,9.16,8.08,24.07,12.29,4.12,6.12,1.18,30.09,17.12,66.8,36.7
241,excellent,2.855230542,24.75,9.01,8.05,23.96,12.14,4.13,6.12,1.2,30.41,16.91,66.8,36.8
242,excellent,2.85806548,24.87,9.09,8.02,23.84,12.14,4.15,6.14,1.18,30.41,16.98,66.9,36.8
243,excellent,2.860918215,24.99,9.09,8.02,23.84,12.14,4.13,6.17,1.17,30.41,16.98,66.8,36.8
244,excellent,2.863788743,24.87,9.09,8.02,23.73,11.95,4.19,6.22,1.17,30.41,17.12,66.9,36.8
245,excellent,2.866677054,24.87,9.05,8.02,23.84,11.95,4.15,6.24,1.21,29.93,17.34,67,36.9
246,excellent,2.869583141,24.87,9.01,7.99,23.62,11.85,4.17,6.27,1.2,30.25,16.98,67,36.9
247,excellent,2.872506993,24.63,8.98,7.95,23.62,11.8,4.13,6.27,1.2,29.93,17.12,67,36.9
248,excellent,2.875448599,24.63,8.87,7.86,23.4,11.8,4.08,6.17,1.12,29.93,16.77,67,36.9
249,excellent,2.878407945,24.52,8.87,7.89,23.62,11.85,4.08,6.17,1.11,29.77,16.77,67,36.9
250,excellent,2.881385017,24.63,8.87,7.89,23.62,11.8,4.12,6.17,1.12,29.3,16.77,67,36.9
251,excellent,2.884379799,24.52,8.87,7.89,23.62,11.75,4.12,6.19,1.14,29.15,16.84,67,36.9
252,excellent,2.887392273,24.63,8.91,7.89,23.51,11.66,4.12,6.19,1.12,29.46,16.91,67.1,36.9
253,excellent,2.890422421,24.75,9.09,7.99,23.62,11.75,4.17,6.27,1.17,29.93,16.91,67.8,37
254,excellent,2.893470222,24.52,9.05,7.95,23.4,11.75,4.19,6.27,1.18,29.77,16.84,67.7,37
255,excellent,2.896535654,24.63,9.01,7.95,23.51,11.71,4.23,6.29,1.17,29.3,16.84,67.9,37
256,excellent,2.899618695,24.63,9.12,7.95,23.4,11.57,4.29,6.34,1.17,29.77,17.05,67.9,37
257,excellent,2.90271932,24.99,9.05,7.99,23.51,11.57,4.27,6.34,1.18,29.77,16.91,68,37
258,excellent,2.905837504,24.87,9.01,7.95,23.4,11.52,4.29,6.39,1.21,29.3,17.05,68.1,37
259,excellent,2.908973218,24.63,8.98,7.95,23.29,11.47,4.29,6.42,1.21,29.46,17.05,68.2,37
260,excellent,2.912126434,24.52,9.12,7.99,23.51,11.43,4.25,6.39,1.2,29.77,16.98,68.2,37
261,excellent,2.915297123,24.52,9.09,7.95,23.51,11.43,4.27,6.42,1.21,29.46,16.98,68.3,37
262,excellent,2.918485253,24.63,8.98,7.92,23.29,11.43,4.29,6.44,1.21,29.3,16.98,68.4,37
263,excellent,2.921690791,24.63,9.05,7.95,23.29,11.29,4.31,6.47,1.21,29.61,16.98,68.5,37
264,excellent,2.924913703,24.52,9.01,7.95,23.51,11.34,4.31,6.47,1.21,29.15,16.84,68.5,37
265,excellent,2.928153954,24.75,9.09,7.92,23.29,11.29,4.33,6.49,1.21,29.15,16.98,68.6,37
266,excellent,2.931411507,24.87,9.09,7.92,23.29,11.25,4.33,6.52,1.23,29.15,16.98,68.7,37.1
267,excellent,2.934686325,24.52,8.98,7.92,23.29,11.25,4.33,6.52,1.22,29,16.84,68.6,37.1
268,excellent,2.937978368,24.63,8.87,7.8,23.18,11.02,4.21,6.44,1.15,28.7,16.63,68.7,37.1
269,excellent,2.941287595,24.29,8.98,7.83,23.18,11.11,4.25,6.47,1.17,28.41,16.77,68.7,37.1
270,excellent,2.944613965,24.52,8.91,7.83,23.4,11.16,4.23,6.47,1.15,28.7,16.63,68.7,37.1
271,excellent,2.947957435,24.63,8.91,7.83,23.29,11.16,4.25,6.47,1.2,28.41,16.84,68.8,37.1
272,excellent,2.951317961,24.75,8.98,7.8,22.96,11.16,4.25,6.49,1.17,28.41,16.84,68.8,37.2
273,excellent,2.954695497,24.4,8.98,7.83,22.96,11.07,4.31,6.54,1.17,28.41,16.91,68.8,37.1
274,excellent,2.958089996,24.75,8.91,7.8,23.07,11.02,4.27,6.54,1.17,28.41,16.77,68.1,36.4
275,excellent,2.961501411,24.52,9.01,7.8,22.96,10.98,4.31,6.6,1.18,28.26,16.84,68.8,37.1
276,excellent,2.964929693,24.52,8.98,7.83,22.96,10.98,4.33,6.57,1.2,28.41,16.7,68.8,37.1
277,excellent,2.96837479,24.52,8.8,7.68,22.96,10.89,4.21,6.44,1.11,27.69,16.49,68.9,37.2
278,excellent,2.971836653,24.4,8.87,7.71,22.86,10.89,4.21,6.47,1.11,27.83,16.42,68.8,37.2
279,excellent,2.975315228,24.4,8.87,7.74,22.75,10.89,4.21,6.47,1.12,27.83,16.22,68.9,37.2
280,excellent,2.978810462,24.4,8.94,7.77,22.64,10.85,4.23,6.49,1.12,28.26,16.42,69.1,37.1
281,excellent,2.982322301,24.52,8.87,7.71,22.64,10.81,4.27,6.52,1.14,27.83,16.42,69.2,37.3
282,excellent,2.985850687,24.63,8.84,7.74,22.96,10.85,4.27,6.52,1.12,28.12,16.56,69.3,37.2
283,excellent,2.989395565,24.4,8.94,7.74,22.86,10.81,4.25,6.57,1.14,27.97,16.91,69.4,37.2
284,excellent,2.992956877,24.29,8.84,7.74,22.86,10.76,4.25,6.57,1.15,27.97,16.7,69.3,37.2
285,excellent,2.996534563,24.29,8.94,7.74,22.64,10.68,4.25,6.6,1.15,27.55,16.91,69.3,37.2
286,good,3.000128564,24.4,8.91,7.71,22.75,10.68,4.27,6.6,1.12,27.97,16.77,69.4,37.2
287,good,3.003738819,24.29,8.87,7.71,22.86,10.63,4.43,6.65,1.14,27.55,16.56,69.4,37.2
288,good,3.007365265,24.4,8.91,7.71,22.86,10.68,4.25,6.62,1.15,27.55,16.7,69.4,37.4
289,good,3.01100784,24.52,8.98,7.68,22.86,10.55,4.27,6.67,1.14,27.97,16.77,69.4,37.3
290,good,3.01466648,24.29,8.87,7.68,22.64,10.59,4.29,6.65,1.15,27.55,16.77,69.4,37.2
291,good,3.01834112,24.17,8.91,7.65,22.64,10.51,4.29,6.7,1.14,27.83,16.7,68.8,36.9
292,good,3.022031694,24.4,8.84,7.62,22.86,10.51,4.25,6.7,1.14,27.41,16.63,69.5,37.3
293,good,3.025738136,24.29,8.8,7.68,22.64,10.51,4.31,6.73,1.16,27.55,16.77,69.5,37.3
294,good,3.029460379,24.4,8.91,7.62,22.86,10.43,4.33,6.78,1.15,27.55,16.7,69.6,37.3
295,good,3.033198353,24.17,8.91,7.62,22.54,10.38,4.33,6.75,1.15,27.55,16.7,69.5,37.4
296,good,3.03695199,24.29,8.8,7.62,22.54,10.34,4.37,6.78,1.15,27.14,16.7,69.6,37.3
297,good,3.04072122,24.52,8.53,7.65,22.75,10.43,4.35,6.81,1.16,27.41,16.49,69.5,37.3
298,good,3.044505971,24.29,8.87,7.65,22.75,10.38,4.39,6.81,1.16,27.41,16.49,69.5,37.1
299,good,3.048306173,24.4,8.91,7.65,22.75,10.38,4.41,6.86,1.16,27.14,16.63,69.6,37.3
300,good,3.052121753,24.4,8.91,7.62,22.44,10.3,4.51,6.83,1.16,27.27,16.42,69.6,37.4
301,good,3.055952638,24.4,8.94,7.65,22.44,10.26,4.43,6.89,1.16,27.41,16.42,69.7,37.4
302,good,3.059798753,24.52,8.87,7.58,22.44,10.22,4.45,6.91,1.17,27.27,16.42,69.7,37.4
303,good,3.063660026,24.4,8.91,7.58,22.75,10.22,4.43,6.97,1.18,27.14,16.49,69.7,37.4
304,good,3.067536379,24.52,8.87,7.55,22.75,10.14,4.39,6.97,1.15,27,15.82,69.7,37.4
305,good,3.071427738,24.17,8.8,7.52,22.44,10.1,4.37,6.94,1.15,27,16.56,69.7,37.5
306,good,3.075334026,23.95,8.8,7.52,22.33,10.06,4.35,6.97,1.14,26.86,16.84,69.7,37.4
307,good,3.079255165,24.29,8.84,7.52,22.54,10.06,4.37,6.97,1.14,26.73,16.84,69.7,37.4
308,good,3.083191078,24.29,8.8,7.49,22.54,10.06,4.45,6.94,1.12,26.73,16.63,69.7,37.4
309,good,3.087141687,23.95,8.87,7.49,22.23,9.98,4.49,6.94,1.12,26.73,16.7,69.7,37.4
310,good,3.091106912,24.29,8.77,7.46,22.44,9.94,4.55,6.97,1.12,26.6,16.77,69.8,37.4
311,good,3.095086674,24.17,8.8,7.46,22.54,9.94,4.51,7.05,1.15,25.95,16.98,69.9,37.4
312,good,3.099080894,24.06,8.7,7.43,22.44,9.94,4.53,7.05,1.15,26.33,16.77,70,37.1
313,good,3.103089489,23.95,8.74,7.43,22.33,9.86,4.57,7.02,1.12,26.47,16.7,70,37.4
314,good,3.10711238,23.83,8.7,7.43,22.33,9.83,4.55,7.08,1.14,26.47,16.84,70,37.5
315,good,3.111149485,24.17,8.7,7.43,22.44,9.83,4.55,7.11,1.15,26.2,16.7,70,37.5
316,good,3.115200722,23.83,8.67,7.41,22.13,9.75,4.57,7.11,1.15,26.07,16.63,70,37.5
317,good,3.119266009,23.95,8.7,7.41,22.33,9.79,4.55,7.13,1.14,26.2,16.56,70,37.5
318,good,3.123345261,23.95,8.67,7.35,22.33,9.71,4.53,7.11,1.15,26.07,16.02,70.1,37.5
319,good,3.127438397,24.06,8.74,7.38,22.13,9.67,4.55,7.19,1.15,25.95,16.49,70,37.7
320,good,3.131545333,23.72,8.6,7.38,22.33,9.67,4.51,7.19,1.16,25.69,15.69,70.1,37.5
321,good,3.135665985,23.95,8.67,7.38,22.33,9.63,4.51,7.19,1.16,25.82,16.35,70.2,37.5
322,good,3.139800267,23.83,8.63,7.32,22.33,9.6,4.49,7.16,1.15,25.82,16.15,70.1,37.5
323,good,3.143948097,23.83,8.6,7.32,22.03,9.56,4.53,7.25,1.14,25.82,16.15,70.1,37.5
324,good,3.148109388,23.61,8.63,7.32,22.23,9.52,4.49,7.3,1.14,25.69,16.35,70.1,37.5
325,good,3.152284055,23.61,8.67,7.29,22.13,9.48,4.8,7.36,1.14,25.57,16.28,70.2,37.5
326,good,3.156472012,23.61,8.6,7.29,22.23,9.48,4.53,7.33,1.16,25.57,16.02,70.2,37.7
327,good,3.160673175,23.95,8.63,7.26,22.03,9.41,4.53,7.39,1.16,25.57,16.22,70.2,37.5
328,good,3.164887456,23.61,8.53,7.26,22.13,9.41,4.53,7.42,1.15,25.32,16.56,70.3,37.6
329,good,3.16911477,23.72,8.6,7.26,22.23,9.34,4.53,7.36,1.15,25.57,16.7,70.1,37.3
330,good,3.17335503,23.72,8.57,7.23,22.03,9.3,4.55,7.42,1.15,25.32,16.7,70.1,37.6
331,good,3.177608149,23.61,8.67,7.26,22.23,9.3,4.55,7.36,1.16,25.2,16.7,70.2,37.5
332,good,3.18187404,23.61,8.67,7.23,22.03,9.3,4.53,7.42,1.12,25.32,16.63,70,37.5
333,good,3.186152616,23.83,8.6,7.23,22.03,9.23,4.55,7.45,1.16,25.07,16.7,70,37.6
334,good,3.190443791,23.61,8.57,7.23,22.23,9.26,4.51,7.48,1.15,25.07,16.63,70.1,37.5
335,good,3.194747476,23.5,8.74,7.23,22.03,9.15,4.57,7.51,1.15,25.07,16.98,70.2,37.6
336,good,3.199063584,23.61,8.53,7.23,22.13,9.15,4.55,7.54,1.16,24.95,16.84,70.2,37.5
337,good,3.203392029,23.39,8.5,7.2,22.03,9.12,4.55,7.51,1.16,24.95,16.7,70.3,37.6
338,good,3.207732721,23.83,8.57,7.17,22.03,9.05,4.59,7.48,1.15,24.95,16.7,70.3,37.6
339,good,3.212085574,23.61,8.57,7.2,22.03,9.01,4.61,7.51,1.16,24.95,16.91,70.4,37.6
340,good,3.2164505,23.72,8.53,7.17,21.93,9.01,4.61,7.54,1.16,24.71,16.7,70.2,37.6
341,good,3.22082741,23.72,8.6,7.14,21.93,8.98,4.63,7.51,1.15,24.83,16.77,70.3,37.6
342,good,3.225216218,23.5,8.6,7.17,21.83,8.94,4.63,7.62,1.14,24.01,16.77,70.3,37.6
343,good,3.229616836,23.5,8.6,7.14,21.83,8.91,4.65,7.62,1.15,24.83,16.7,69.6,36.8
344,good,3.234029175,23.5,8.53,7.14,22.03,8.94,4.63,7.68,1.16,24.48,16.84,70.5,37.6
345,good,3.238453148,23.72,8.53,7.11,22.03,8.91,4.67,7.68,1.16,24.36,16.84,70.5,37.6
346,good,3.242888667,23.39,8.47,7.06,21.73,8.8,4.65,7.68,1.12,24.59,16.63,70.6,37.6
347,good,3.247335645,23.28,8.43,7.06,21.63,8.8,4.67,7.75,1.14,24.24,16.7,70.6,37.6
348,good,3.251793994,23.5,8.37,7.03,21.63,8.73,4.65,7.68,1.14,24.24,16.49,70.7,37.6
349,good,3.256263626,23.28,8.4,7.06,21.83,8.8,4.71,7.78,1.16,24.24,16.56,70.7,37.6
350,good,3.260744455,23.18,8.4,7.03,21.73,8.7,4.76,7.84,1.16,24.36,16.63,70.8,37.8
351,good,3.265236392,23.18,8.33,7.03,21.83,8.73,4.71,7.87,1.15,24.36,16.63,70.8,37.6
352,good,3.269739351,23.28,8.27,7,21.93,8.67,4.73,7.93,1.16,24.01,16.42,70.9,37.6
353,good,3.274253245,23.18,8.27,6.97,21.83,8.63,4.73,7.96,1.16,23.78,16.49,70.9,37.6
354,good,3.278777986,23.39,8.23,6.94,21.63,8.56,4.78,7.93,1.16,23.78,16.49,70.9,37.6
355,good,3.283313488,23.28,8.23,6.94,21.83,8.56,4.78,7.96,1.15,24.01,16.49,70.8,37.7
356,good,3.287859664,23.28,8.23,6.89,21.63,8.5,4.9,8.05,1.17,23.78,16.35,70.8,37.7
357,good,3.292416428,23.28,8.27,6.86,21.63,8.46,4.82,8.02,1.15,23.9,16.56,70.8,37.8
358,good,3.296983693,22.96,8.07,6.86,21.53,8.43,4.82,8.09,1.16,23.56,16.49,70.8,37.6
359,good,3.301561374,23.07,8.14,6.86,21.53,8.43,4.82,8.09,1.16,23.56,16.28,70.8,37.7
360,good,3.306149385,22.96,8.11,6.83,21.83,8.37,4.86,8.05,1.17,23.67,16.49,71.4,38.5
361,good,3.310747639,22.86,8.14,6.83,21.73,8.37,4.82,8.15,1.16,23.56,16.28,70.8,37.7
362,good,3.315356053,23.07,8.07,6.81,21.53,8.33,4.88,8.15,1.16,23.56,16.49,70.8,37.7
363,good,3.31997454,22.75,8.11,6.81,21.63,8.3,4.9,8.18,1.16,23.45,16.35,71,37.6
364,good,3.324603015,22.65,8.01,6.75,21.43,8.27,4.88,8.15,1.12,23.23,16.22,70.9,37.8
365,good,3.329241394,22.65,7.98,6.72,21.43,8.2,4.9,8.21,1.12,23.01,16.15,71,37.7
366,good,3.333889594,22.65,5.74,6.78,21.63,8.24,4.92,8.25,1.16,23.12,16.15,71,37.7
367,good,3.338547528,22.75,7.98,6.75,21.53,8.24,4.95,8.25,1.14,23.23,16.35,70.9,37.4
368,good,3.343215115,22.75,7.95,6.7,21.33,8.14,4.9,8.31,1.14,22.8,16.15,71,37.7
369,good,3.347892269,22.65,8.01,6.72,21.24,8.14,4.99,8.34,1.15,23.01,16.35,71,37.7
370,good,3.352578909,22.54,7.92,6.72,21.33,8.11,4.99,8.41,1.16,22.91,16.15,71.1,37.7
371,good,3.357274951,22.75,7.92,6.61,21.05,8.08,5.03,8.34,1.12,22.8,16.22,70.9,37.8
372,good,3.361980312,22.54,7.88,6.67,21.43,8.11,5.01,8.41,1.16,22.8,16.15,71,37.8
373,good,3.366694911,22.54,7.88,6.61,21.33,8.01,5.05,8.44,1.15,22.8,16.08,71,37.8
374,good,3.371418665,22.54,7.85,6.61,21.43,8.01,5.08,8.51,1.16,22.69,16.08,70.9,37.8
375,good,3.376151493,22.54,7.79,6.61,21.33,8.01,5.08,8.51,1.15,22.59,16.08,70.9,37.7
376,good,3.380893314,22.54,7.76,6.53,21.05,7.92,5.05,8.51,1.16,22.38,16.15,70.9,37.8
377,good,3.385644046,22.44,7.82,6.56,21.24,7.95,5.08,8.61,1.16,22.48,16.08,70.9,37.8
378,good,3.39040361,22.44,7.82,6.56,21.14,7.92,5.12,8.64,1.17,22.38,15.95,70.8,37.8
379,good,3.395171925,22.65,7.82,6.53,20.95,7.86,5.16,8.61,1.15,22.48,16.02,70.8,37.8
380,good,3.399948911,22.54,7.7,6.51,21.14,7.83,5.19,8.61,1.14,22.17,16.02,70.9,37.8
381,good,3.40473449,22.24,7.73,6.53,21.14,7.83,5.16,8.64,1.15,22.38,15.95,70.8,37
382,good,3.409528582,22.44,7.76,6.51,21.05,7.8,5.21,8.75,1.16,22.07,15.82,70.8,37.8
383,good,3.414331108,22.54,7.64,6.48,20.95,7.77,5.23,8.78,1.18,22.07,15.69,70.8,37.8
384,good,3.419141991,22.44,7.7,6.48,20.86,7.74,5.23,8.81,1.16,21.97,15.88,70.9,37.9
385,good,3.423961152,22.34,7.67,6.51,21.14,7.77,5.28,8.78,1.17,22.17,15.69,70.8,37.8
386,good,3.428788515,22.24,7.67,6.48,21.05,7.74,5.23,8.85,1.17,22.07,15.82,70.9,37.8
387,good,3.433624002,22.24,7.58,6.48,21.05,7.71,5.23,8.85,1.18,21.87,15.75,70.9,37.8
388,good,3.438467537,22.14,7.61,6.45,20.95,7.71,5.23,8.88,1.2,21.87,15.62,71.5,38
389,good,3.443319044,22.34,7.55,6.45,20.95,7.65,5.28,8.88,1.16,21.77,15.75,70.9,37.9
390,good,3.448178446,22.44,7.55,6.43,20.77,7.65,5.28,8.95,1.18,21.67,15.62,71,37.8
391,good,3.45304567,22.14,7.49,6.4,20.77,7.65,5.19,8.88,1.14,21.47,15.43,70.9,37.8
392,good,3.457920639,22.44,7.55,6.45,20.95,7.65,5.32,8.99,1.2,21.67,15.5,71,37.8
393,good,3.46280328,22.03,7.55,6.4,20.86,7.56,5.3,9.02,1.14,21.57,15.43,71.1,37.8
394,good,3.467693519,22.14,7.52,6.43,20.95,7.59,5.55,9.1,1.2,21.57,15.56,71.1,37.8
395,good,3.472591283,22.03,7.4,6.38,20.77,7.5,5.25,9.02,1.14,21.47,15.56,71.7,38
396,good,3.477496497,22.24,7.49,6.38,20.58,7.5,5.34,9.1,1.16,21.57,15.75,71.1,37.8
397,good,3.482409091,22.24,7.43,6.38,20.77,7.47,5.39,9.06,1.17,21.38,15.62,71.3,37.8
398,good,3.487328991,22.24,7.46,6.35,20.49,7.44,5.39,9.06,1.15,21.38,15.69,71.2,37.5
399,good,3.492256126,22.14,7.55,6.4,20.77,7.44,5.37,9.1,1.16,21.38,15.5,71.2,37.8
400,good,3.497190424,22.14,7.43,6.35,20.49,7.41,5.39,9.13,1.16,21.09,15.5,71.2,37.8
401,good,3.502131817,22.24,7.4,6.27,20.13,7.35,5.39,9.17,1.16,21.28,15.43,71.2,37.9
402,good,3.507080231,22.24,7.4,6.35,20.67,7.38,5.46,9.2,1.17,21.09,15.56,71.2,37.9
403,good,3.5120356,22.03,7.34,6.35,20.58,7.38,5.43,9.28,1.16,20.99,15.62,71.2,37.9
404,good,3.516997852,22.24,8.7,6.3,20.31,7.32,5.48,9.24,1.16,21.09,15.43,71.2,37.9
405,good,3.521966918,22.03,7.4,6.32,20.49,7.35,5.5,9.24,1.16,20.99,15.5,71.2,37.7
406,good,3.526942732,22.14,7.31,6.3,20.31,7.29,5.53,9.28,1.15,20.9,15.37,71.2,37.9
407,good,3.531925225,22.03,7.31,6.3,20.22,7.27,5.53,9.28,1.14,20.99,15.5,71.2,37.9
408,good,3.536914329,22.14,7.31,6.3,20.31,7.27,5.57,9.39,1.17,20.8,15.43,71.3,37.9
409,good,3.541909977,22.03,7.34,6.3,20.31,7.24,5.6,9.43,1.15,20.9,15.5,71.3,37.9
410,good,3.546912103,21.93,7.37,6.32,20.4,7.24,5.62,9.39,1.15,20.9,15.56,71.3,37.9
411,good,3.551920642,21.93,7.31,6.3,20.4,7.21,5.6,9.39,1.16,20.99,15.56,71.3,37.9
412,good,3.556935528,22.03,7.34,6.3,20.22,7.15,5.46,9.43,1.16,20.62,15.69,71.3,37.9
413,good,3.561956695,22.14,7.34,6.3,20.13,7.15,5.6,9.46,1.16,20.62,15.43,71.3,37.9
414,good,3.566984079,22.03,7.37,6.3,20.31,7.15,5.64,9.46,1.17,20.62,15.62,71.3,37.9
415,good,3.572017616,22.03,7.25,6.3,20.13,7.15,5.64,9.46,1.17,20.52,15.5,71.4,37.9
416,good,3.577057244,21.93,7.31,6.3,20.13,7.13,5.64,9.5,1.16,20.62,15.5,71.4,37.9
417,good,3.582102898,21.93,7.19,6.22,19.95,7.07,5.57,9.46,1.11,20.25,15.5,71.5,37.9
418,good,3.587154516,21.84,7.25,6.25,20.04,7.1,5.6,9.43,1.11,20.34,15.5,71.5,37.9
419,good,3.592212036,21.93,7.22,6.22,19.95,7.07,5.64,9.43,1.1,20.25,15.43,72,38.1
420,good,3.597275396,21.84,7.16,6.22,20.04,7.04,5.69,9.46,1.11,20.25,15.5,71.5,37.9
421,good,3.602344536,21.93,7.22,6.22,20.04,7.01,5.69,9.46,1.12,20.25,15.5,71.6,37.9
422,good,3.607419395,22.14,7.22,6.22,19.77,7.01,5.71,9.5,1.12,20.16,15.5,72.1,38.5
423,good,3.612499912,22.03,7.25,6.22,19.77,6.99,5.67,9.61,1.14,20.07,15.31,71.5,37.9
424,good,3.617586029,21.93,7.22,6.25,19.95,6.99,5.69,9.65,1.14,19.98,15.12,71.6,37.9
425,good,3.622677685,22.24,7.16,6.22,19.18,7.01,5.74,9.69,1.16,19.98,15.12,71.7,37.9
426,good,3.627774823,21.93,7.22,6.25,19.86,6.99,5.74,9.73,1.16,19.98,15.12,72.2,38
427,good,3.632877383,22.03,7.19,6.27,19.86,6.96,5.81,9.73,1.17,19.98,15.18,71.6,37.9
428,good,3.637985309,22.14,6.97,6.25,19.69,6.93,5.81,9.81,1.17,19.89,15.18,71.7,37.9
429,good,3.643098543,22.14,7.16,6.27,19.95,6.96,5.86,9.81,1.16,20.07,15.06,71.7,37.6
430,good,3.648217029,22.24,7.22,6.3,19.86,6.96,5.91,9.88,1.21,19.89,14.94,71.7,37.9
431,good,3.65334071,22.03,7.22,6.27,19.86,6.88,5.91,9.92,1.17,19.89,15.31,71.8,37.9
432,good,3.65846953,22.75,7.19,6.25,19.69,6.8,5.96,9.92,1.18,19.98,15.75,71.7,37.9
433,good,3.663603434,21.84,7.08,6.25,19.86,6.82,5.96,9.92,1.17,19.81,15.75,71.8,37.9
434,good,3.668742368,21.84,7.05,6.25,19.77,6.82,5.93,10,1.2,19.81,15.43,71.8,37.9
435,good,3.673886277,22.03,7.08,6.22,19.6,6.77,5.98,10.04,1.18,19.72,15.62,71.8,37.9
436,good,3.679035106,22.24,7.14,6.22,19.51,6.77,6.01,10.08,1.2,19.72,15.62,71.8,37.9
437,good,3.684188804,22.03,7.11,6.22,19.6,6.8,6.01,10.08,1.2,19.72,15.5,72.3,38
438,good,3.689347316,21.93,7.05,6.22,19.51,6.74,6.03,10.04,1.17,19.46,15.62,72.3,38
439,good,3.69451059,22.14,7.11,6.22,19.51,6.72,6.08,10.16,1.18,19.72,15.5,72.4,38
440,good,3.699678575,22.14,6.99,6.19,19.43,6.72,6.11,10.12,1.17,19.37,15.5,72.3,38
441,good,3.704851219,22.14,7.05,6.22,19.6,6.69,6.11,10.2,1.17,19.55,15.56,72.4,38
442,good,3.71002847,21.93,7.19,6.22,19.69,6.69,6.11,10.2,1.2,19.55,15.31,72.5,38
443,good,3.715210279,21.93,7.05,6.17,19.43,6.64,6.18,10.29,1.18,19.55,15.37,72.4,38.1
444,good,3.720396594,22.03,6.99,6.14,19.34,6.61,6.23,10.29,1.17,19.46,15.25,72.4,38
445,good,3.725587367,21.84,6.97,6.14,19.34,6.64,6.21,10.41,1.18,19.46,15.31,72.5,38
446,good,3.730782548,21.74,6.88,6.14,19.51,6.61,6.23,10.33,1.17,19.29,15.43,72.5,38.8
447,good,3.735982089,22.03,6.97,6.12,19.26,6.56,6.31,10.37,1.17,19.29,15.43,72.5,38
448,good,3.74118594,21.93,6.85,6.14,19.18,6.56,6.28,10.33,1.17,19.04,15.43,72.5,38
449,good,3.746394055,22.24,7.02,6.14,19.26,6.61,6.23,10.37,1.2,19.12,15.31,72.5,38
450,good,3.751606385,22.03,6.97,6.22,19.34,6.61,6.23,10.29,1.17,19.21,15.62,72.5,38.1
451,good,3.756822884,22.34,7.08,6.25,19.26,6.58,6.26,10.25,1.2,19.12,15.69,72.6,38
452,good,3.762043506,22.24,8.27,6.22,19.26,6.58,6.23,10.29,1.17,19.04,15.82,72.5,38
453,good,3.767268203,22.03,6.99,6.25,19.51,6.72,6.13,10.25,1.17,19.12,15.88,72,37.9
454,good,3.772496931,22.44,7.02,6.27,19.18,6.64,6.21,10.25,1.2,19.21,15.95,72.6,38
455,good,3.777729645,22.44,6.99,6.3,19.18,6.61,6.21,10.29,1.17,19.12,15.75,72.6,38
456,good,3.782966299,22.54,7.08,6.35,19.18,6.64,6.21,10.2,1.18,19.12,15.82,72.6,38
457,good,3.788206849,22.54,7.11,6.35,19.18,6.61,6.26,10.2,1.17,19.12,15.82,72.6,38
458,good,3.793451252,22.34,7.14,6.38,19.26,6.61,6.33,10.33,1.21,19.21,15.69,72.6,38
459,good,3.798699463,22.44,7.08,6.35,19.09,6.53,6.39,10.25,1.16,18.96,15.69,72.6,38
460,good,3.80395144,22.34,7.11,6.35,19.26,6.53,6.39,10.41,1.2,19.12,15.69,72,37
461,good,3.80920714,22.44,6.99,6.3,19.09,6.51,6.41,10.37,1.17,18.87,15.37,72.6,38
462,good,3.814466521,22.14,7.02,6.3,19.18,6.51,6.44,10.49,1.2,18.96,15.43,72.6,38
463,good,3.819729542,22.14,7.02,6.27,19.09,6.48,6.46,10.54,1.18,18.96,15.25,72.7,38
464,good,3.824996159,22.34,6.94,6.25,19.01,6.43,6.49,10.58,1.18,18.87,15.25,72.6,38.1
465,good,3.830266334,21.93,6.91,6.22,19.09,6.38,6.52,10.62,1.2,18.79,15.31,72.6,38.1
466,good,3.835540025,21.93,6.85,6.22,19.18,6.4,6.79,10.62,1.2,18.63,15.25,72.6,38.1
467,good,3.840817191,22.24,6.85,6.19,18.93,6.38,6.54,10.66,1.18,18.79,15.37,72.5,38.3
468,good,3.846097794,22.03,6.8,6.25,19.09,6.38,6.57,10.66,1.18,18.55,15.37,72.7,38.1
469,good,3.851381794,22.24,6.83,6.22,19.01,6.38,6.54,10.62,1.17,18.55,15.5,72.5,38.1
470,good,3.856669151,22.34,6.91,6.22,18.93,6.38,6.57,10.66,1.2,18.71,15.5,71.9,37.8
471,good,3.861959828,22.24,6.91,6.22,18.84,6.35,6.62,10.71,1.21,18.63,15.5,72.4,38.2
472,good,3.867253786,22.03,6.85,6.19,18.76,6.33,6.62,10.79,1.21,18.63,15.62,72.4,38.2
