,principal component 1,principal component 2,class
128,4.6750784658080455,2.943797962032961,excellent
129,3.7740699227569663,2.7408572777841504,excellent
130,4.568920937477836,3.3109755406427337,excellent
131,4.56022828388799,3.291303864562953,excellent
132,4.525728436587718,3.236573051162659,excellent
133,4.480708432102248,3.1405286298680877,excellent
134,4.549797732758227,3.2527748556393696,excellent
135,4.578743395111396,3.3109081999284453,excellent
136,4.568099173199535,3.2703854915967923,excellent
137,4.575479280825852,3.30454591607406,excellent
138,4.613849419434707,3.330256869009503,excellent
139,4.616692786306548,3.3183755669442028,excellent
140,4.612947259417758,3.3209537588683538,excellent
141,4.615466270731574,3.329453828444775,excellent
142,4.609550325357874,3.3300682970558815,excellent
143,4.628740989912173,3.345786228025259,excellent
144,4.64737760806997,3.354049958925128,excellent
145,4.678458657274881,3.3682941672022433,excellent
146,4.683671171413114,3.374513553637672,excellent
147,4.694073437360207,3.3869701040811946,excellent
148,4.708291640525012,3.3891608656611925,excellent
149,4.753338235459325,3.4618115720983322,excellent
150,4.766496594951655,3.4608841000890167,excellent
151,4.815819995564919,3.5689280418664304,excellent
152,4.783632644955664,3.474049992002505,excellent
153,4.782503987508143,3.4706269143571524,excellent
154,4.7722780116074475,3.478735553115398,excellent
155,4.816503678807912,3.555786776286444,excellent
156,4.821091565605606,3.590593688135105,excellent
157,4.80387731135195,3.5998044605147212,excellent
158,4.819167431712064,3.6032798215165167,excellent
159,4.865262528439577,3.615413380089507,excellent
160,4.8951096438234005,3.6721604524756564,excellent
161,4.898889029727904,3.6695518577314177,excellent
162,4.909687159711641,3.681955441316708,excellent
163,4.8952051037114925,3.7527051169352528,excellent
164,4.9220615396130505,3.7613213520300923,excellent
165,4.908587214396369,3.760921064162011,excellent
166,4.893197878851431,3.7725423911312235,excellent
167,4.904944360298335,3.763773697322117,excellent
168,4.930461558049391,3.848044292089222,excellent
169,4.887029790225527,3.7411292084804124,excellent
170,4.875241633510671,3.7011646183431877,excellent
171,4.861902671338882,3.727477736909922,excellent
172,4.854579121267979,3.6601800630515284,excellent
173,4.846205743667342,3.652155295818,excellent
174,4.849283021941206,3.6194219133959846,excellent
175,4.86757738120356,3.6710402183443755,excellent
176,4.846825199644238,3.6173465038070516,excellent
177,4.792044150245747,3.502972517481878,excellent
178,3.1403367795153767,-1.4490654845367403,excellent
179,3.082396478925725,-1.540210636111824,excellent
180,3.1317531306169344,-1.3645712294581558,excellent
181,3.100436023174519,-1.4024376498845144,excellent
182,3.063357594041468,-1.3124691331456724,excellent
183,3.0661751740642806,-1.3302924833342369,excellent
184,2.5182428329707256,-1.609089260933717,excellent
185,2.6985510717420547,-1.5679722035466153,excellent
186,2.7864320483381984,-1.442532439912684,excellent
187,2.8360956234457597,-1.4003212662672737,excellent
188,2.8059711298507954,-1.5462908047551163,excellent
189,2.979659926994121,-1.1973732863980837,excellent
190,2.9723151981605818,-1.194316372038878,excellent
191,3.0472728396921354,-1.1281682369969845,excellent
192,3.0337017811297993,-1.234953699922471,excellent
193,3.352357627562398,-0.5447181830052498,excellent
194,2.7905813903230543,-1.680765197290798,excellent
195,2.7755711115196418,-1.6273853125967743,excellent
196,2.7615270681031063,-1.6189672204797618,excellent
197,2.6281381236036885,-1.802655709643284,excellent
198,2.758365162181193,-1.783427911655613,excellent
